Sexo	NAS HORAS VAGAS, O QUE VOCÊS MAIS GOSTA DE FAZER OPÇÃO 1	 NAS HORAS VAGAS, O QUE VOCÊS MAIS GOSTA DEFAZER OPÇÃO 2
Feminino	Ver filme	Beber com amigos
Feminino	Rezar	Conversar
Masculino	Ler	Ver TV
Feminino	Cuidar das galinhas	Costurar
Feminino	Descansar	Cozinhar
Feminino	Dormir	Comer
Masculino	Manutenções em casa	Fazer gaiola de passarinho
Feminino	Descansar	Ver TV
Feminino	Deitar	Mexer no celular
Feminino	Deitar	Ver TV
Feminino	Sentar	Conversar
Masculino	Ouvir mÃºsica	Tocar instrumento
Feminino	Ler	Dormir
Masculino	Descansar	Ver TV
Feminino	Treinar ballet	Ver filme
Feminino	Limpar casa	Passear
Feminino	Ver TV	Limpar casa
Feminino	Ver sÃ©rie	Brincar com o filho
Masculino	Caminhar	Jogar vídeo game
Feminino	Ver TV	Cozinhar
Feminino	Assistir filmes	Sair com os amigos
Feminino	Ver TV	Ir a igreja
Feminino	Sair para comer	Dormir
Feminino	Cursos	Encontrar com os amigos
Masculino	Conversar	Andar de bicicleta
Feminino	Dormir	Ler
Feminino	Sair	Dançar
Masculino	Viajar	Ir a cachoeira
Masculino	Ver sites de compras	Beber
Masculino		
Masculino		
Masculino		
Masculino		
Feminino		
Feminino		
Feminino		
Feminino		
Masculino		
Masculino		
Feminino		
Feminino		
Masculino		
Masculino		
Não Binario		
Masculino		
Masculino		
Feminino		
Feminino		
Masculino		
Masculino		
Feminino		
Masculino		
Feminino		
Masculino		
Feminino		
Feminino		
Masculino		
Feminino		
Masculino		
Masculino	Bar	
Masculino	Redes Sociais	Tirar fotos
Não Binario	Conversar	Rede Sociais
Feminino	Dormir	
Feminino	Ler	
Feminino	Estudo	
Masculino	Leio	Conversar
Masculino	Conversar	
Feminino		
Não Binario	CAMINHAR	
Feminino	costura	
Masculino	ficar com a familia	
Masculino		
Feminino	ler	
Masculino	conversar	
Feminino	Celular	
Feminino	correr	
Masculino	celular	bar
Feminino		
Masculino	academia	
Masculino		
Masculino	conversar	
Feminino	redes sociais	
Masculino	cerveja	
Masculino	rede sociais	
Masculino	estudar	
Feminino	academia	
Feminino	Dormir	
Feminino	conversar	
Masculino	cerveja	
Feminino	ler	
Feminino		
Masculino	conversar	
Masculino	cerveja	
Masculino	academia	
Feminino	ler	
Masculino	tv	rede sociais
Feminino	Dormir 	assistir series
Masculino	tv	
Masculino	passear com a familia 	assistir series
Masculino	descansar	dar atenção aos filhos
Masculino	ficar com a familia	ir a igreja
Feminino	Dormir 	ver serie
Feminino	tv	usar internet
Masculino	ouvir musica	tocar violão
Feminino	Dançar	assistir filme
Feminino	conversar	Dormir
Feminino	ler	andar de bike
Feminino		
Feminino	Dormir 	curtir a familia
Masculino	encontrar com a familia	amigos e rodas de conversa
Masculino	viajar	Dormir
Feminino	passeio em familia	assistir series
Masculino	Dormir	cerveja
Não Binario	ler	
Feminino	celular 	tv
Masculino	familia	
Masculino	correr	
Masculino	redes sociais	
Feminino	cerveja	conversar
Feminino	conversar	
Feminino	conversar	
Masculino	academia	
Masculino	cuidar da horta	
Masculino	ler	
Masculino	cerveja	
Feminino	caminhar	
Masculino	conversar	tv
Masculino	ler	academia
Masculino	correr	
Feminino	escrita criativa	leitura
Masculino	redes sociais 	jogos
Feminino	cuidar das flores	escutar musica
Feminino	cachoeira	trilha
Feminino	passear com os pets	passear com os amigos
Masculino	beber com os amigos	nadar
Feminino	sair de carro	assistir tv
Feminino	ir para bares	netflix
Masculino	skate	pedal
Masculino	redes sociais	tv
Feminino	tv	jogar futebol
Feminino	jogos	conversar
Masculino	tocar bateria	passear com a filha
Feminino	cinema 	passeio ao ar livre
Masculino	tv	dar uma volta
Feminino	descansar 	usar o celular
Feminino	Dormir	tv
Masculino	cachoeira	passear
Masculino	tv	comida
Feminino	passear com os filhos	ler
Feminino	tv	gastronomia
Feminino	nadar	bike
Masculino	passear com o cachorro	serie
Feminino	fotografia	tv
Feminino	maquiagem	edição de fotos
Masculino	tv	jogo
Feminino	trico	
Masculino	cerveja	
Masculino	jogar bola	
Masculino	musica	
Masculino	games	
Feminino	serie	
Feminino	tv	radio
Masculino	nada	
Não Binario	academia	
Feminino	ficar com a familia	
Masculino	correr	andar de bike
Masculino	Dormir	
Masculino	Dormir	
Feminino	conversar	
Feminino	game	
Masculino	caminhar	
Não Binario	rede sociais	
Feminino	conversar	
Masculino	crossfit	
Feminino	cademia 	beber
Feminino		
Feminino		
Masculino	cavalgar	estar sossegado
Feminino	jui-jitsu	Dançar
Feminino	estar em familia	ver documentarios
Masculino	tv	
Feminino	pedalar	ir no clube
Masculino	consertar utensilios 	ler
Masculino	jogar bola 	beber
Masculino	exercicios	ficar em casa
Feminino	passear	cavalgar
Masculino	pescar	viajar
Feminino	fazer trilha	pescar
68	passear com os caes	estar em familia
Feminino	ver futebol	ver jornal
Masculino	ler	ver jornal
Feminino	jogar bola	jogar bola
Masculino	sair com os amigos	
Masculino	pescar	ficar com a familia
Feminino	descansar com a familia	viajar
Masculino	passear com os caes	estar em casa (cidade natal)
Masculino	pedalar	fazer trilha
Feminino	jogar bola	jogar no pc
Feminino	escrever	sair com a familia
Masculino	sair	estudar
Masculino	praticar esporte	viajar
Masculino	malhar	pedalar
Feminino	trabalhar em casa	tomar cerveja
Masculino	ir para roÃ§a 	caminhar
Feminino	pos graduaÃ§Ã£o	leituras
Feminino	Dançar	sair
Feminino	ver filme 	ler
Masculino	cuidar dos gados	pedalar
Feminino	estudar 	sair para lugares calmos
Feminino	leitura	lazer
Feminino	sair com os amigos	Dançar
Feminino	estudar 	sair com a familia
Masculino	pedalar	tv
Feminino	jogar bola	ficar com a familia
Masculino	caminhar	ir na roÃ§a 
Masculino	ver filme	levar a familia para passear
Feminino	ir para o sitio	tv
Feminino	passear	exercicios
Feminino	esportes	Dormir
Masculino	fazer freelancer	pescar
Feminino	sair	ficar em casa
Feminino	caminhar	ficar com os netos
Feminino	esportes	sair com o esposo
Feminino	limpar a casa	assistir novela
Masculino	jogar bola	beber
Masculino	malhar	correr
Feminino	viajar	ir as festas
Feminino	ficar com os netos	almoçar com a familia
Masculino	sair	Dormir
Feminino	ouvir musica	maquiar
Feminino	Dormir	ver serie e filme
Feminino	ver serie	limpar casa
Masculino	ver serie	comer
Feminino	jogar	ver serie
Feminino	ver serie	cozinhar
Feminino	assistir filme	cozinhar
Masculino	maquiagem	Dormir
Feminino	descansar 	brincar com o cachorrinho
Feminino	ouvir musica	sair
Masculino	passear com a familia	brincar com a filha
Masculino	sair	Dormir
Feminino	costurar	cozinhar
Masculino	descansar	pescar
Feminino	ler	fazer compras
Feminino	sair	ira pra a roça
Masculino	descansar	brincar com os filhos
Feminino	usar o instagram	fazer unha de alguma cliente
Masculino	Dormir	visitar o pai em divinesia
Feminino	encontrar com os amigos	viajar
Feminino	sair e beber	ira pra a roça
Feminino	croche	bordar
Feminino	visitar a mae	descansar
Feminino	sair	ir para casa da vo
Masculino	Dormir	musica
Feminino	doces 	compras
	ouvir radio	cuidar dos netos
